Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,179.61,100.54,5.158,-0.34152,2.170e-2,0.0224,0.021,675.556,1.547e-4,1.547e-4,1.547e-4,0_1:7.753e-3,0_1:391.111
Q1,189.5,49.22,5.034,-0.34437,2.700e-2,0.0378,0.0162,675.556,3.050e-4,3.050e-4,3.050e-4,1_3:8.501e-3; 1_2:7.113e-3; 1_0:7.753e-3,1_3:405.333; 1_2:355.556; 1_0:426.667
Q2,182.5,159.23,4.863,-0.34727,6.320e-2,0.0282,0.0982,675.556,2.702e-4,2.702e-4,2.702e-4,2_1:7.113e-3,2_1:320
Q3,129.6,209.03,5.125,-0.34044,1.410e-2,0.0156,0.0126,675.556,4.442e-4,4.442e-4,4.442e-4,3_5:1.253e-2; 3_1:8.501e-3,3_5:284.444; 3_1:369.778
Q4,201.72,114.19,5.159,-0.33337,1.930e-2,0.0218,0.0168,675.556,7.075e-4,7.075e-4,7.075e-4,4_5:1.590e-2,4_5:590.222
Q5,123.11,111.72,4.979,-0.34602,1.960e-2,0.0254,0.0138,675.556,6.928e-4,6.928e-4,6.928e-4,5_6:1.725e-2; 5_4:1.590e-2; 5_3:1.253e-2,5_6:640; 5_4:625.778; 5_3:320
Q6,134.37,185.29,5.157,-0.34045,5.700e-3,0.0074,0.004,675.556,3.654e-4,3.654e-4,3.654e-4,6_5:1.725e-2,6_5:604.444
