Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q89,145.97,44.19,4.958,-0.30863,1.510e-2,0.018,0.0122,864,2.659e-4,2.659e-4,2.659e-4,89_74:8.426e-3; 89_88:1.059e-2,89_74:384; 89_88:568.889
Q90,98.47,103.5,5.256,-0.3033,2.880e-2,0.0148,0.0428,864,2.936e-4,2.936e-4,2.936e-4,90_94:1.303e-2; 90_75:1.224e-2,90_94:369.778; 90_75:412.444
Q91,118.01,70.75,5.057,-0.30788,3.300e-2,0.0312,0.0348,864,5.062e-4,5.062e-4,5.062e-4,91_98:1.547e-2; 91_79:1.252e-2,91_98:419.556; 91_79:405.333
Q92,108.66,158.21,5.124,-0.30626,8.600e-3,0.011,0.0062,864,1.940e-4,1.940e-4,1.940e-4,92_83:1.042e-2; 92_102:1.035e-2,92_83:405.333; 92_102:540.444
Q93,97.52,122.16,5.14,-0.30575,7.820e-2,0.0802,0.0762,864,3.404e-4,3.404e-4,3.404e-4,93_87:1.030e-2; 93_106:7.156e-3,93_87:440.889; 93_106:440.889
Q94,93.75,100.74,5.176,-0.30523,7.500e-3,0.0092,0.0058,864,2.409e-4,2.409e-4,2.409e-4,94_90:1.303e-2; 94_95:8.345e-3,94_90:405.333; 94_95:398.222
Q95,96.27,136.99,5.221,-0.30548,7.800e-3,0.0084,0.0072,864,4.342e-4,4.342e-4,4.342e-4,95_96:6.499e-3; 95_94:8.345e-3,95_96:348.444; 95_94:362.667
Q96,99.94,105.87,5.142,-0.30586,1.320e-2,0.0168,0.0096,864,2.345e-4,2.345e-4,2.345e-4,96_97:8.298e-3; 96_95:6.499e-3; 96_109:1.000e+0,96_97:362.667; 96_95:384; 96_109:355.556
Q97,74.72,95.77,5.052,-0.30754,5.000e-3,0.0076,0.0024,864,3.093e-4,3.093e-4,3.093e-4,97_96:8.298e-3; 97_98:2.041e-2,97_96:398.222; 97_98:917.333
Q98,73.87,58.58,5.124,-0.29461,1.900e-2,0.0232,0.0148,864,5.796e-3,5.796e-3,5.796e-3,98_91:1.547e-2; 98_99:2.139e-2; 98_97:2.041e-2,98_91:455.111; 98_99:405.333; 98_97:952.889
Q99,58.94,35.91,5.175,-0.30474,6.520e-2,0.0634,0.067,864,1.706e-3,1.706e-3,1.706e-3,99_98:2.139e-2; 99_100:3.267e-2,99_98:369.778; 99_100:732.444
Q100,116.05,52.85,5.028,-0.30765,3.530e-2,0.0444,0.0262,864,1.789e-4,1.789e-4,1.789e-4,100_110:1.698e-2; 100_101:5.619e-3; 100_99:3.267e-2,100_110:832; 100_101:419.556; 100_99:768
Q101,84.35,52.09,5.095,-0.30715,2.910e-2,0.031,0.0272,864,1.770e-4,1.770e-4,1.770e-4,101_102:7.062e-3; 101_100:5.619e-3,101_102:362.667; 101_100:384
Q102,126.14,144.62,4.985,-0.30865,6.900e-3,0.0064,0.0074,864,2.469e-4,2.469e-4,2.469e-4,102_101:7.062e-3; 102_92:1.035e-2; 102_103:1.328e-2,102_101:398.222; 102_92:576; 102_103:391.111
Q103,90.71,146.6,5.227,-0.30411,1.120e-2,0.0086,0.0138,864,3.334e-4,3.334e-4,3.334e-4,103_102:1.328e-2; 103_104:1.177e-2,103_102:355.556; 103_104:476.444
Q104,104.03,86.32,5.135,-0.30632,6.800e-3,0.0082,0.0054,864,4.511e-4,4.511e-4,4.511e-4,104_111:1.009e-2; 104_103:1.177e-2; 104_105:2.466e-2,104_111:483.556; 104_103:512; 104_105:654.222
Q105,77.07,100.25,4.985,-0.30863,8.000e-3,0.0078,0.0082,864,2.023e-4,2.023e-4,2.023e-4,105_106:8.577e-3; 105_104:2.466e-2,105_106:405.333; 105_104:689.778
Q106,87,85.6,5.04,-0.30814,1.130e-2,0.0132,0.0094,864,7.250e-4,7.250e-4,7.250e-4,106_105:8.577e-3; 106_93:7.156e-3; 106_107:7.554e-3,106_105:369.778; 106_93:476.444; 106_107:455.111
Q107,113.8,124.29,5.122,-0.30525,5.800e-3,0.0086,0.003,864,2.636e-4,2.636e-4,2.636e-4,107_108:1.068e-2; 107_106:7.554e-3,107_108:554.667; 107_106:419.556
Q108,118.95,67.17,5.254,-0.30352,3.960e-2,0.0302,0.049,864,5.939e-4,5.939e-4,5.939e-4,108_107:1.068e-2; 108_112:2.550e-2,108_107:519.111; 108_112:540.444
Q109,104.21,78.93,4.992,-0.3249,2.801e-1,0.4536,0.1066,864,8.090e-2,8.090e-2,8.090e-2,109_96:1.000e+0,109_96:391.111
Q110,102.16,50.25,5.292,-0.30295,2.070e-2,0.0198,0.0216,864,2.973e-4,2.973e-4,2.973e-4,110_118:7.856e-3; 110_100:1.698e-2,110_118:405.333; 110_100:796.444
Q111,99.49,132.61,5.191,-0.3056,1.270e-2,0.0158,0.0096,864,4.334e-4,4.334e-4,4.334e-4,111_122:1.143e-2; 111_104:1.009e-2,111_122:426.667; 111_104:448
Q112,99.43,33.99,5.216,-0.27862,4.470e-2,0.051,0.0384,864,6.554e-4,6.554e-4,6.554e-4,112_126:1.877e-2; 112_108:2.550e-2,112_126:376.889; 112_108:576
Q113,82.33,139.19,5.17,-0.30616,1.400e-2,0.013,0.015,864,1.834e-4,1.834e-4,1.834e-4,113_114:1.498e-2,113_114:1052.444
Q114,62.77,62.12,5.274,-0.30316,4.340e-2,0.0412,0.0456,864,4.348e-4,4.348e-4,4.348e-4,114_115:3.712e-2; 114_113:1.498e-2,114_115:611.556; 114_113:1088
Q115,113.92,77.16,5.122,-0.30653,1.100e-2,0.0128,0.0092,864,3.230e-4,3.230e-4,3.230e-4,115_114:3.712e-2; 115_116:1.414e-2,115_114:576; 115_116:426.667
Q116,123.58,156.45,5.017,-0.30771,4.700e-3,0.0048,0.0046,864,1.884e-4,1.884e-4,1.884e-4,116_117:8.609e-3; 116_115:1.414e-2,116_117:348.444; 116_115:462.222
Q117,88.17,107.41,5.234,-0.30379,7.300e-3,0.0104,0.0042,864,2.446e-4,2.446e-4,2.446e-4,117_118:8.452e-3; 117_116:8.609e-3,117_118:433.778; 117_116:312.889
Q118,108.8,111.79,5.114,-0.30676,9.900e-3,0.0108,0.009,864,3.274e-4,3.274e-4,3.274e-4,118_117:8.452e-3; 118_110:7.856e-3; 118_119:1.428e-2,118_117:469.333; 118_110:440.889; 118_119:881.778
Q119,86.56,56.26,5.275,-0.30461,1.360e-2,0.0166,0.0106,864,2.417e-4,2.417e-4,2.417e-4,119_118:1.428e-2; 119_120:2.379e-2,119_118:846.222; 119_120:1130.667
Q120,97.61,66.01,5.083,-0.30669,5.200e-3,0.0068,0.0036,864,3.019e-4,3.019e-4,3.019e-4,120_121:8.885e-3; 120_119:2.379e-2,120_121:476.444; 120_119:1166.222
Q121,117.97,59.16,4.996,-0.30827,1.500e-2,0.0176,0.0124,864,1.855e-4,1.855e-4,1.855e-4,121_120:8.885e-3; 121_122:1.701e-2,121_120:440.889; 121_122:846.222
Q122,83.8,72.93,5.269,-0.30324,5.460e-2,0.0396,0.0696,864,2.874e-4,2.874e-4,2.874e-4,122_111:1.143e-2; 122_123:6.274e-2; 122_121:1.701e-2,122_111:462.222; 122_123:561.778; 122_121:810.667
Q123,64.89,4.56,5.108,-0.30626,6.500e-3,0.009,0.004,864,1.707e-3,1.707e-3,1.707e-3,123_122:6.274e-2; 123_124:1.197e-1,123_122:597.333; 123_124:533.333
Q124,74.98,91.28,5.244,-0.29286,1.850e-2,0.0196,0.0174,864,2.137e-3,2.137e-3,2.137e-3,124_123:1.197e-1; 124_125:1.485e-2,124_123:497.778; 124_125:789.333
Q125,75.04,117.86,5.037,-0.30725,4.800e-3,0.0066,0.003,864,2.996e-4,2.996e-4,2.996e-4,125_126:7.957e-3; 125_124:1.485e-2,125_126:504.889; 125_124:753.778
Q126,90.77,127.06,5.165,-0.30495,4.100e-3,0.0054,0.0028,864,2.236e-4,2.236e-4,2.236e-4,126_125:7.957e-3; 126_112:1.877e-2,126_125:469.333; 126_112:412.444
